org,org_abr,A_count,B_count,C_count,D_count,E_count,F_count,G_count,H_count,default_count,A,B,C,D,E,F,G,H
African Intellectual Property Organization,OAPI,2150,496,1819,1819,496,1158,1984,1984,2150,0.13,0.03,0.11,0.11,0.03,0.07,0.12,0.12
African Regional Intellectual Property Organization,ARIPO,331,1819,1158,3473,2811,2480,2150,496,331,0.02,0.11,0.07,0.21,0.17,0.15,0.13,0.03
Benelux Office for Intellectual Property,BOIP,1323,1488,165,661,1654,827,496,992,1323,0.08,0.09,0.01,0.04,0.1,0.05,0.03,0.06
Community Plant Variety Office of the European Union,QZ,2976,661,1819,1984,0,1158,992,1488,2976,0.18,0.04,0.11,0.12,0,0.07,0.06,0.09
Eurasian Patent Organization,EAPO,827,2480,1488,331,496,2480,2315,1323,827,0.05,0.15,0.09,0.02,0.03,0.15,0.14,0.08
European Patent Office,EPO,2646,1654,1654,165,992,496,165,1984,2646,0.16,0.1,0.1,0.01,0.06,0.03,0.01,0.12
International Bureau of the World Intellectual Property Organization,"IB, WO",2150,165,2315,165,0,1654,2150,1984,2150,0.13,0.01,0.14,0.01,0,0.1,0.13,0.12
International Union for the Protection of New Varieties of Plants,UPOV,1488,2646,1984,827,2150,1158,992,1158,1488,0.09,0.16,0.12,0.05,0.13,0.07,0.06,0.07
Nordic Patent Institute,NPI,1488,661,1158,165,2315,0,331,2150,1488,0.09,0.04,0.07,0.01,0.14,0,0.02,0.13
European Union Intellectual Property Office,EUIPO,661,165,165,331,2646,1819,1158,661,661,0.04,0.01,0.01,0.02,0.16,0.11,0.07,0.04
Patent Office of the Cooperation Council for the Arab States of the Gulf,GCC,0,1654,992,3473,2315,2315,1654,165,0,0,0.1,0.06,0.21,0.14,0.14,0.1,0.01
Visegrad Patent Institute,VPI,331,2646,1819,3307,661,661,1819,2150,331,0.02,0.16,0.11,0.2,0.04,0.04,0.11,0.13